Nama Produk,Harga Produk,Nama Toko,Lokasi,Terjual,Rating
cuanki/cuankie lidah isi 150 khas Garut baso Aci/boci/seblak,47999,ArfaOnlineShop,Tangerang,21,5.0
SEBLAK INSTAN MANG MUSS,12500,Seblak Mang Muss,Tasikmalaya,500,4.9
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600,NomeL Shop,Surabaya,500,4.8
Bundle 3pcs Basranger Baso Aci Cuanki Extra Pedas 200gr Makanan Instan,64120,Rak Sebelah,Jakarta Pusat,50,4.9
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,20000,pelangi khatulistiwa 2,Surabaya,50,4.9
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250,4.9
"baso aci special telor daging, boci, bakso aci, cuanki, seblak instan",10000,baso aci masabi,Jakarta Selatan,750,4.8
Cuankie Batagor Mini topping baso aci / seblak,9999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250,4.8
Seblak Bapper Instan Hot Spicy/Seblak Bapper Pedas,16900,V3 OnSHop,Surabaya,21,4.9
BASRENG MENTAH 25pcs Kemasan Vacuum Bahan Keripik Seblak Viral,19399,gaiagarut,Kab. Garut,1,5.0
seblak kencur / okesnack,10000,oke snack,Jakarta Selatan,750,4.9
Bumbu Basah Seblak Koki Jempol 60gr,4250,Koki Jempol,Kab. Bogor,7,5.0
Cimol Spicy Lava Kylafood,25080,kylafood,Bandung,750,4.9
Bumbu Basah Seblak Koki Jempol 300Gr,19100,Happy Family Cooking,Kab. Bogor,9,5.0
Kylafood Paket Batagor dan Toping Pilus,32400,kylafood,Bandung,1000,4.9
"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",26000,Kaya Halal Market,Jakarta Selatan,30,4.8
kerupuk seblak pedas / kerupuk jablay,15000,CAMILLANS,Jakarta Selatan,21,4.9
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,20000,Distributor-Jaya,Tangerang,100,5.0
kerupuk seblak bumbu kacang (kerucang),15000,Kerucangby2r,Kab. Bandung,100,4.8
kerupuk seblak pedas daun jeruk,5000,RIKI STORE 97,Kab. Bogor,100,4.7
SEBLAK SOACI / SEBLAK BASO ACI SOACI,16850,TOBELO SHOP,Tangerang,100,5.0
Basreng Pinggsnack,16700,Gerai Snack Official Shop,Kab. Tangerang,500,4.8
Makaroni Ceu Wewei 1kg,65000,Makaroni Ceu Wewei,Kab. Tangerang,70,5.0
Baso Aci Mie Nyemek Teh Shanty Original Lengkap Dengan Gurilem 200g,22900,Gerai Snack Official Shop,Kab. Tangerang,100,5.0
Keripik Seblak / Seblak Pedas / Kerupuk Pedas / Kerupuk Seblak,12500,Jajanan Van Java,Cimahi,70,4.8
seblak kering pedas daun jeruk kerupuk seblak kencur pedas dj 1 kg,37000,Qie snack,Kab. Jember,16,5.0
KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 250GRAM,14700,Golden Cakery,Jakarta Pusat,500,4.9
Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,60,5.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg MAWAR WARNA,21000,SuperSnacksShop,Kab. Bandung,100,5.0
Kerupuk Jablay Bantet Seblak isi 10 pcs,10000,ken-olshop,Bekasi,250,5.0
Siomay Mini Seblak Kering Kerikil Kuncup Bakso Aci Cuanki Baso,7000,Celikafood,Bandung,90,4.9
Kerupuk seblak mawar bantet 1 kg,45000,Markas Makaroni,Kab. Bekasi,7,5.0
Seblak Viral Mang Rafael,10000,HANHEN Langgeng Jaya,Tangerang,4,5.0
Seblak Alma Instan,5000,Kedai Alma,Kab. Garut,250,4.9
KERUPUK OREN 1KG TOPPING SEBLAK,21000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,30,5.0
